Time,Global Temperature Anomaly,Earthquakes with Magnitude 2+,Earthquakes with Magnitude 2.0 - 2.9,Minor Earthquake 3.0 - 3.9M,Light Earthquake 4.0 - 4.9M,Moderate Earthquake 5.0 - 5.9M,Strong Earthquake 6.0 - 6.9M,Major Magnitude 7M+,Maximum Magnitude,Maximum Depth
1973-01,0.28,24,0,4,14,6,0,0,5.4,521
1973-02,0.41,15,0,3,10,2,0,0,5.4,103
1973-03,0.37,20,0,4,11,4,1,0,6.1,103
1973-04,0.29,26,0,8,15,3,0,0,5.2,300
1973-05,0.23,27,0,6,14,6,1,0,6,171
1973-06,0.23,39,0,1,21,16,1,0,6,207
1973-07,0.16,17,0,0,13,4,0,0,5.4,140
1973-08,0.12,34,0,2,22,10,0,0,5.9,148
1973-09,0.1,16,0,0,12,4,0,0,5.4,167
1973-10,0.07,12,0,2,10,0,0,0,4.9,147
1973-11,0.03,29,0,4,17,6,2,0,6.4,491
1973-12,0.03,24,0,0,20,3,1,0,6,208
1974-01,-0.19,20,0,3,10,7,0,0,5.7,207
1974-02,-0.24,16,0,2,9,4,1,0,6.5,139
1974-03,-0.03,21,0,4,14,3,0,0,5.7,201
1974-04,-0.05,28,0,1,22,4,1,0,6,85
1974-05,-0.02,27,0,1,23,3,0,0,5.1,523
1974-06,-0.03,24,0,4,16,4,0,0,5.7,190
1974-07,0.02,19,0,1,16,2,0,0,5.4,460
1974-08,0.04,53,0,7,33,10,3,0,6.3,136
1974-09,-0.01,12,0,0,10,2,0,0,5.8,470
1974-10,-0.07,19,0,0,15,4,0,0,5.7,421
1974-11,-0.06,27,0,7,12,8,0,0,5.8,194
1974-12,-0.1,20,0,1,14,5,0,0,5.8,524
1975-01,0.11,21,1,1,14,5,0,0,5.7,154
1975-02,0.06,37,0,3,26,6,1,1,7.6,427
1975-03,0.12,19,0,1,13,5,0,0,5.4,537
1975-04,0.08,36,0,0,26,8,2,0,6.2,155
1975-05,0.08,27,0,5,20,2,0,0,5.4,167
1975-06,0.06,17,0,1,12,4,0,0,5.3,141
1975-07,0.03,12,0,1,9,2,0,0,5.8,478
1975-08,-0.04,18,0,0,11,5,2,0,6.6,167
1975-09,0.04,8,0,0,4,4,0,0,5.6,94
1975-10,-0.12,8,0,1,4,3,0,0,5.3,132
1975-11,-0.16,18,0,0,11,6,1,0,6.3,133
1975-12,-0.1,20,0,0,17,2,1,0,6,554
1976-01,-0.02,57,0,5,32,19,1,0,6,148
1976-02,-0.12,25,1,0,17,6,1,0,6,212
1976-03,-0.22,14,0,0,12,2,0,0,5.2,222
1976-04,0,19,0,0,16,3,0,0,5.5,128
1976-05,-0.12,14,0,1,11,2,0,0,5.5,179
1976-06,-0.08,15,0,0,9,6,0,0,5.4,138
1976-07,-0.08,11,0,0,10,1,0,0,5.2,61
1976-08,-0.05,14,0,0,6,8,0,0,5.5,145
1976-09,-0.02,13,0,0,11,2,0,0,5.3,116
1976-10,-0.19,14,0,0,10,4,0,0,5.5,194
1976-11,-0.03,4,0,0,3,1,0,0,5.6,127
1976-12,0.11,7,0,0,4,3,0,0,5.3,118
1977-01,0.13,10,0,0,7,3,0,0,5.3,132
1977-02,0.26,12,0,0,6,5,1,0,6.7,167
1977-03,0.31,18,0,1,13,3,1,0,6,149
1977-04,0.29,14,0,1,11,2,0,0,5.1,390
1977-05,0.26,10,0,2,5,2,1,0,6,465
1977-06,0.27,16,0,0,14,2,0,0,5.1,176
1977-07,0.19,19,0,1,13,5,0,0,5.3,141
1977-08,0.15,20,0,2,13,5,0,0,5.4,411
1977-09,0.19,27,0,3,19,4,1,0,6.4,231
1977-10,0.12,12,0,1,7,4,0,0,5.3,198
1977-11,0.25,25,0,2,13,9,1,0,6.7,232
1977-12,0.12,23,0,1,15,7,0,0,5.8,175
1978-01,0.16,19,0,1,11,7,0,0,5.3,285
1978-02,0.15,13,0,1,7,5,0,0,5.4,131
1978-03,0.23,35,0,1,23,10,1,0,6.2,155
1978-04,0.13,26,0,2,18,5,1,0,6.6,171
1978-05,0.08,30,0,2,24,3,1,0,6.7,152
1978-06,0.06,21,0,1,17,3,0,0,5.9,147
1978-07,0.07,12,0,1,10,1,0,0,5.8,231
1978-08,0.01,17,0,4,11,2,0,0,5.4,184
1978-09,0.09,15,0,1,11,3,0,0,5.5,167
1978-10,0.07,8,0,1,5,2,0,0,5,61
1978-11,0.2,12,0,2,6,4,0,0,5.3,182
1978-12,0.14,20,0,1,17,2,0,0,5.6,224
1979-01,0.15,23,0,2,13,7,1,0,6,156
1979-02,0.05,24,0,1,18,4,1,0,6.7,277
1979-03,0.23,20,1,5,12,2,0,0,5,136
1979-04,0.11,21,0,2,16,3,0,0,5.1,517
1979-05,0.17,29,0,3,22,2,2,0,6.4,206
1979-06,0.21,13,0,2,10,1,0,0,5.3,132
1979-07,0.2,22,0,3,15,4,0,0,5.5,230
1979-08,0.24,22,0,2,15,5,0,0,5.6,134
1979-09,0.26,21,0,0,15,6,0,0,5.9,474
1979-10,0.29,13,0,1,10,1,1,0,6,100
1979-11,0.29,9,0,1,7,1,0,0,5.7,152
1979-12,0.52,11,0,2,6,3,0,0,5.4,555
1980-01,0.33,55,0,0,37,18,0,0,5.8,546
1980-02,0.39,15,0,1,9,5,0,0,5.5,139
1980-03,0.28,37,0,3,27,5,2,0,6.9,132
1980-04,0.33,13,0,3,7,3,0,0,5.4,124
1980-05,0.37,5,0,1,3,1,0,0,5.8,80
1980-06,0.26,16,0,5,10,1,0,0,5.2,543
1980-07,0.23,17,0,5,10,2,0,0,5.2,402
1980-08,0.21,18,0,2,12,4,0,0,5.5,128
1980-09,0.2,14,0,2,8,4,0,0,5.4,153
1980-10,0.18,18,0,0,17,1,0,0,5,178
1980-11,0.31,20,1,0,14,5,0,0,5.9,137
1980-12,0.27,10,0,1,4,5,0,0,5.6,65
1981-01,0.51,25,0,0,20,4,0,1,7,84
1981-02,0.4,44,0,2,32,10,0,0,5.9,150.6
1981-03,0.44,21,0,1,15,5,0,0,5.5,154.8
1981-04,0.35,18,0,0,17,1,0,0,5,136.8
1981-05,0.27,19,0,3,14,2,0,0,5.2,202.3
1981-06,0.31,18,0,1,13,4,0,0,5.5,492.2
1981-07,0.24,31,0,7,17,7,0,0,5.2,152
1981-08,0.24,19,0,6,9,4,0,0,5.2,114
1981-09,0.18,18,0,3,15,0,0,0,4.9,106.6
1981-10,0.18,27,1,13,11,2,0,0,5.3,112
1981-11,0.27,23,0,3,17,3,0,0,5.6,245.7
1981-12,0.48,13,1,2,8,2,0,0,5.4,137.4
1982-01,0.14,22,0,3,15,3,1,0,6.1,123.8
1982-02,0.19,17,0,4,10,3,0,0,5.4,134.5
1982-03,0.1,10,0,3,4,3,0,0,5.6,158.7
1982-04,0.22,11,0,2,6,3,0,0,5.3,159
1982-05,0.21,21,0,4,15,1,1,0,6.4,128.6
1982-06,0.14,26,0,1,19,6,0,0,5.8,461.5
1982-07,0.16,30,0,2,20,6,2,0,6.4,227.8
1982-08,0.14,21,0,1,11,9,0,0,5.4,142
1982-09,0.24,28,0,1,21,6,0,0,5.9,124.8
1982-10,0.18,12,0,3,7,2,0,0,5.5,88.6
1982-11,0.15,19,1,2,12,3,1,0,6.3,92
1982-12,0.43,16,0,3,11,2,0,0,5.5,557.8
1983-01,0.53,46,0,3,32,10,1,0,6.1,524.5
1983-02,0.49,19,0,1,11,6,1,0,6.5,239.3
1983-03,0.42,28,0,3,21,4,0,0,5.6,148.6
1983-04,0.29,17,0,1,10,6,0,0,5.9,208.7
1983-05,0.31,26,0,1,21,4,0,0,5.2,204.2
1983-06,0.3,22,0,2,17,2,1,0,6.1,144.2
1983-07,0.3,15,1,0,11,2,1,0,6.2,226.2
1983-08,0.36,20,0,2,12,5,0,1,7.1,137.9
1983-09,0.34,21,0,2,13,6,0,0,5.4,196.7
1983-10,0.24,7,0,2,4,1,0,0,5,80.5
1983-11,0.45,25,0,2,11,12,0,0,5.3,104
1983-12,0.28,15,0,1,7,7,0,0,5.6,144.7
1984-01,0.3,28,0,6,16,6,0,0,5.4,141.7
1984-02,0.18,13,0,1,10,2,0,0,5.2,140.4
1984-03,0.3,22,0,0,16,6,0,0,5.6,250
1984-04,0.14,15,0,2,9,4,0,0,5.4,118.7
1984-05,0.31,22,0,1,17,4,0,0,5.6,161
1984-06,0.14,21,0,4,8,9,0,0,5.7,498.9
1984-07,0.15,20,0,1,12,7,0,0,5.6,142.9
1984-08,0.19,13,0,0,11,2,0,0,5.4,126.9
1984-09,0.18,12,0,1,7,4,0,0,5.9,65.1
1984-10,0.14,23,0,1,16,6,0,0,5.5,188.8
1984-11,0.06,33,0,0,28,4,1,0,6.3,205.7
1984-12,-0.08,32,1,3,22,5,1,0,6.7,419.1
1985-01,0.22,22,0,4,12,5,1,0,6,468.8
1985-02,0.06,13,0,1,9,3,0,0,5.4,322.4
1985-03,0.2,17,0,1,12,4,0,0,5.9,233.2
1985-04,0.15,31,0,0,26,5,0,0,5.8,134.8
1985-05,0.22,28,0,1,18,6,3,0,6.3,147.6
1985-06,0.15,22,0,2,17,3,0,0,5.6,495.3
1985-07,0.1,20,0,0,14,5,1,0,6.1,121.2
1985-08,0.16,33,0,3,23,6,1,0,6.3,578.2
1985-09,0.14,14,0,1,12,1,0,0,5.2,538.5
1985-10,0.15,33,0,0,25,5,3,0,6.6,140.6
1985-11,0.14,15,0,1,9,4,1,0,6.1,136.8
1985-12,0.22,20,0,2,15,3,0,0,5.3,156.1
1986-01,0.31,13,0,2,8,3,0,0,5.6,281.1
1986-02,0.3,26,0,2,21,3,0,0,5.1,125.1
1986-03,0.3,42,1,7,28,6,0,0,5.7,250
1986-04,0.26,27,0,3,20,3,1,0,6,163.8
1986-05,0.26,239,0,7,158,68,5,1,8,236.7
1986-06,0.24,69,1,2,51,13,2,0,6.8,189.8
1986-07,0.17,60,0,7,36,15,2,0,6,93
1986-08,0.2,39,0,2,29,8,0,0,5.4,512.4
1986-09,0.18,38,0,7,24,6,1,0,6.5,145.2
1986-10,0.22,31,0,4,15,12,0,0,5.7,213.6
1986-11,0.16,14,0,1,8,5,0,0,5.9,394.1
1986-12,0.22,14,0,0,10,4,0,0,5.4,125.3
1987-01,0.32,35,0,6,22,6,1,0,6.8,235.1
1987-02,0.5,44,0,2,34,6,2,0,6.9,158.5
1987-03,0.27,59,0,1,46,10,2,0,6.4,174.5
1987-04,0.3,30,0,1,24,5,0,0,5.7,309.7
1987-05,0.36,27,0,1,20,5,1,0,6.8,33
1987-06,0.33,26,0,1,20,4,1,0,6.5,98.2
1987-07,0.43,39,0,4,23,11,1,0,6.4,260
1987-08,0.4,27,0,2,19,5,1,0,6,526.9
1987-09,0.45,23,0,3,16,4,0,0,5.5,132.7
1987-10,0.35,27,0,3,12,10,2,0,6.5,130.2
1987-11,0.35,21,0,3,15,3,0,0,5,121.4
1987-12,0.54,24,0,2,18,4,0,0,5.1,231.2
1988-01,0.56,52,15,9,16,12,0,0,5.5,159.4
1988-02,0.44,89,27,10,31,18,3,0,6.9,146.8
1988-03,0.53,48,6,12,22,8,0,0,5.8,325.3
1988-04,0.46,51,12,22,14,3,0,0,5.3,168.6
1988-05,0.41,48,20,7,17,3,1,0,6,205.1
1988-06,0.41,32,11,8,11,2,0,0,5.1,165
1988-07,0.37,51,13,6,24,7,1,0,6,181.1
1988-08,0.35,41,15,5,17,3,1,0,6.1,644.8
1988-09,0.35,46,16,12,14,4,0,0,5.3,478
1988-10,0.31,40,17,5,13,5,0,0,5.7,131.1
1988-11,0.21,40,10,6,16,7,1,0,6,483.1
1988-12,0.34,52,12,11,23,6,0,0,5.5,207.7
1989-01,0.17,58,21,7,24,4,2,0,6.3,140.7
1989-02,0.31,71,34,16,19,1,1,0,6,154.1
1989-03,0.35,78,39,14,20,5,0,0,5.4,356.8
1989-04,0.29,142,53,58,26,5,0,0,5.4,189
1989-05,0.29,140,66,28,35,9,2,0,6.3,166.3
1989-06,0.26,88,56,8,17,7,0,0,5.6,190.8
1989-07,0.32,81,49,15,13,3,1,0,6.1,218.2
1989-08,0.32,103,64,15,19,5,0,0,5.6,238
1989-09,0.31,75,36,11,24,3,0,1,7,534.9
1989-10,0.29,70,32,10,22,5,1,0,6.8,164.3
1989-11,0.23,55,33,9,10,3,0,0,5.4,153.1
1989-12,0.41,61,36,9,14,2,0,0,5.6,247.8
1990-01,0.36,73,43,8,15,6,1,0,6,554.7
1990-02,0.41,50,31,7,10,2,0,0,5.4,161.3
1990-03,0.76,118,67,20,23,7,1,0,6.4,163
1990-04,0.53,59,34,8,16,1,0,0,5.2,173.6
1990-05,0.47,64,26,11,19,6,2,0,6.6,252
1990-06,0.42,58,22,7,23,6,0,0,5.4,204.3
1990-07,0.39,56,29,16,8,3,0,0,5.3,162.6
1990-08,0.39,62,28,18,12,4,0,0,5.5,500
1990-09,0.33,58,32,7,9,10,0,0,5.7,163.1
1990-10,0.43,60,36,13,10,1,0,0,5.1,143.6
1990-11,0.48,63,27,14,18,2,1,1,7.1,149.8
1990-12,0.42,77,34,15,17,10,1,0,6,516.8
1991-01,0.43,84,50,14,17,2,1,0,6.4,491.4
1991-02,0.46,93,38,23,27,4,1,0,6.7,495
1991-03,0.37,138,58,14,48,17,1,0,6.6,164.7
1991-04,0.52,105,57,19,18,11,0,0,5.6,156.8
1991-05,0.41,111,69,17,19,5,0,1,7,169
1991-06,0.49,95,49,21,19,6,0,0,5.3,419.6
1991-07,0.42,81,52,18,7,4,0,0,5.9,411.2
1991-08,0.37,93,55,14,19,4,1,0,6,274.8
1991-09,0.35,69,39,15,12,3,0,0,5.5,147.8
1991-10,0.29,78,40,9,19,10,0,0,5.6,405.9
1991-11,0.3,64,33,14,16,0,1,0,6,150.2
1991-12,0.28,63,39,15,6,3,0,0,5.4,400
1992-01,0.46,77,41,16,17,3,0,0,5.4,470.6
1992-02,0.43,79,45,13,13,7,1,0,6,504.1
1992-03,0.44,92,46,15,21,5,5,0,6.9,197.4
1992-04,0.31,91,60,13,15,3,0,0,5.3,183
1992-05,0.33,92,55,11,21,5,0,0,5.7,474.8
1992-06,0.27,94,50,14,23,7,0,0,5.9,389.3
1992-07,0.11,77,45,11,17,4,0,0,5.7,188.8
1992-08,0.11,79,42,8,25,4,0,0,5.4,169.6
1992-09,0.05,69,32,8,22,5,2,0,6.6,182.7
1992-10,0.05,84,38,19,20,6,1,0,6,166.1
1992-11,0.04,80,36,11,26,6,1,0,6.2,446
1992-12,0.25,60,38,9,10,2,1,0,6.1,158.9
1993-01,0.36,57,37,12,6,2,0,0,5.6,523
1993-02,0.38,83,34,16,28,5,0,0,5.3,427.8
1993-03,0.41,91,56,13,18,4,0,0,5.7,169.1
1993-04,0.31,87,56,16,10,5,0,0,5.5,171.1
1993-05,0.35,106,49,21,24,9,3,0,6.9,162.8
1993-06,0.34,113,71,8,27,5,1,1,7.5,171.3
1993-07,0.27,103,60,17,19,7,0,0,5.4,266.4
1993-08,0.22,87,59,12,11,5,0,0,5.6,164.5
1993-09,0.18,73,35,21,14,3,0,0,5.1,416.2
1993-10,0.22,80,51,10,15,4,0,0,5.8,173.3
1993-11,0.07,74,23,13,27,8,2,1,7,218.3
1993-12,0.27,68,32,10,19,6,1,0,6.1,211.4
1994-01,0.27,77,47,18,9,3,0,0,5.7,387.4
1994-02,0.08,65,34,12,15,4,0,0,5.9,508.8
1994-03,0.38,75,36,18,15,6,0,0,5.5,189.3
1994-04,0.36,88,61,13,10,3,1,0,6.2,359
1994-05,0.41,77,45,12,16,4,0,0,5.8,175.8
1994-06,0.4,83,48,15,18,2,0,0,5.2,210.7
1994-07,0.31,90,55,15,16,4,0,0,5.8,493
1994-08,0.3,113,54,14,37,8,0,0,5.9,193.7
1994-09,0.33,84,42,16,14,12,0,0,5.8,400
1994-10,0.42,95,63,11,17,4,0,0,5.7,491.4
1994-11,0.46,84,49,20,12,3,0,0,5.2,400
1994-12,0.42,64,33,23,4,4,0,0,5.3,219
1995-01,0.56,101,55,18,22,5,1,0,6.3,201.2
1995-02,0.74,71,38,14,17,2,0,0,5.6,500
1995-03,0.5,99,56,17,22,3,1,0,6.2,182.3
1995-04,0.45,117,53,17,43,2,2,0,6.5,533.2
1995-05,0.37,131,72,15,41,2,0,1,7.1,179.7
1995-06,0.46,108,61,10,33,4,0,0,5.3,190.4
1995-07,0.42,99,51,12,34,1,1,0,6,460.7
1995-08,0.5,102,53,20,27,2,0,0,5.6,528.6
1995-09,0.4,95,56,13,20,6,0,0,5.5,196.4
1995-10,0.44,88,39,22,23,4,0,0,5.9,175.4
1995-11,0.45,97,44,18,30,5,0,0,5.5,149.6
1995-12,0.33,84,35,24,23,2,0,0,5.8,233
1996-01,0.25,229,35,105,77,11,1,0,6.6,215.1
1996-02,0.46,68,26,21,18,3,0,0,5.6,153.7
1996-03,0.35,170,37,57,60,14,2,0,6.8,554.1
1996-04,0.26,82,31,28,17,6,0,0,5.5,500
1996-05,0.39,93,35,34,23,1,0,0,5.3,500
1996-06,0.35,360,39,86,189,40,4,2,7.9,383.4
1996-07,0.33,147,36,33,67,10,1,0,6.5,521.7
1996-08,0.35,146,59,28,48,10,1,0,6,580.2
1996-09,0.25,81,40,14,20,7,0,0,5.5,400
1996-10,0.21,91,41,11,27,11,1,0,6.1,627.1
1996-11,0.3,71,34,10,23,4,0,0,5.2,166.6
1996-12,0.38,120,37,45,37,1,0,0,5.4,600
1997-01,0.34,72,36,18,13,5,0,0,5.7,410.7
1997-02,0.44,78,40,23,11,4,0,0,5.9,450
1997-03,0.5,144,71,31,28,13,1,0,6.7,489.4
1997-04,0.42,128,71,23,31,3,0,0,5.7,500
1997-05,0.42,154,93,31,26,3,1,0,6,500
1997-06,0.53,129,78,26,20,4,1,0,6.4,163.6
1997-07,0.5,111,54,31,22,3,1,0,6.1,168.8
1997-08,0.55,119,65,33,20,1,0,0,5.1,200
1997-09,0.61,119,65,23,29,2,0,0,5.2,189.6
1997-10,0.64,98,54,13,29,1,1,0,6.4,250
1997-11,0.58,108,59,17,26,6,0,0,5.4,250
1997-12,0.63,610,81,57,402,66,3,1,7.8,613.8
1998-01,0.6,154,57,30,55,12,0,0,5.9,200
1998-02,0.87,120,61,29,26,4,0,0,5.5,678.9
1998-03,0.68,135,69,37,28,1,0,0,5.3,500
1998-04,0.76,126,59,34,32,1,0,0,5.8,178.5
1998-05,0.7,265,134,69,54,7,1,0,6,172.4
1998-06,0.73,120,62,22,35,0,1,0,6.4,434.8
